,转债代码,转债名称,正股代码,正股名称,现价,涨跌幅,成交额,换手率,近5日涨跌幅,近20日涨跌幅,近3月涨跌幅,近1年涨跌幅,剩余规模（亿元）,转股价值,溢价率,正股价格,正股涨跌幅,正股成交额,正股波动率,双低指标,纯债价值,转债/正股流通市值比,自选标记,更新时间,上市日期,发行规模（亿元）,债券评级,到期日期,剩余年限,转股价,回售触发价,强赎触发价,距离转股开始天数,转股开始日期,下修条件,下修次数,下修成功次数,强赎标记,确定强赎日期,确定强赎价格,强赎天数统计
243,123107,温氏转债,1300498,温氏股份,141.069,-0.32,4974.1,0.46,-4.23,0.86,13.64,31.72,77.389,137.24,2.79,23.99,1.14,16687.79,42.94,143.86,99.25,6.0,0,09:50:03,2021-04-21,92.97,AAA,27-03-28,4.573,17.48,12.24,22.72,0,2021-10-08,15/30  90%,0,0,G,,,0/15 | 30
244,123108,乐普转2,1300003,乐普医疗,113.07,0.06,16.51,0.01,-0.16,-1.25,1.4,-5.08,16.377,65.79,71.87,19.23,1.58,7860.3,41.6,184.94,100.01,5.5,0,09:50:03,2021-04-19,16.38,AA+,26-03-29,3.575,29.23,20.46,38.0,0,2021-10-08,15/30  80%,0,0,,,,0/15 | 30
245,123109,昌红转债,1300151,昌红科技,114.805,-0.31,163.8,0.31,-0.74,-3.57,2.94,-4.02,4.596,62.27,84.37,17.36,-1.25,2215.25,52.61,199.18,93.15,8.3,0,09:50:00,2021-04-19,4.6,AA-,27-03-31,4.581,27.88,19.52,36.24,0,2021-10-08,15/30  85%,0,0,,,,0/15 | 30
246,123110,九典转债,1300705,九典制药,128.1,-0.43,490.34,1.42,0.95,-6.5,2.97,4.23,2.698,101.34,26.41,18.95,-0.16,1158.07,55.06,154.51,84.71,7.1,0,09:49:57,2021-04-23,2.7,A+,27-03-31,4.581,18.7,13.09,24.31,0,2021-10-08,15/30  85%,0,0,,,,0/15 | 30
247,123112,万讯转债,1300112,万讯自控,130.706,0.04,1722.75,5.37,-5.22,-13.73,3.03,-2.76,2.453,113.97,14.68,9.95,0.2,758.36,52.03,145.39,95.66,11.6,0,09:50:03,2021-04-23,2.457,AA-,27-04-07,4.6,8.73,6.11,11.35,0,2021-10-14,15/30  85%,0,0,,,,8/15 | 30
248,123113,仙乐转债,1300791,仙乐健康,111.355,0.42,676.32,0.59,0.5,-0.29,4.16,-7.6,10.249,59.49,87.18,33.6,-1.18,3128.04,44.74,198.54,90.9,60.7,0,09:50:03,2021-05-14,10.249,AA-,27-04-19,4.633,56.48,39.54,73.42,0,2021-10-25,15/30  85%,0,0,,,,0/20 | 30
249,123114,三角转债,1300775,三角防务,146.445,0.3,838.2,0.63,-6.78,-16.69,-2.14,-23.22,9.008,123.59,18.49,39.13,0.28,3284.47,46.1,164.94,92.28,4.8,0,09:50:03,2021-06-11,9.044,AA-,27-05-24,4.729,31.66,22.16,41.16,0,2021-11-30,15/30  85%,0,0,G,,,0/20 | 30
250,123115,捷捷转债,1300623,捷捷微电,118.303,0.24,212.25,0.15,-1.12,-5.62,1.64,-13.73,11.946,72.84,62.41,21.03,1.25,2196.17,43.2,180.71,90.16,8.9,0,09:50:03,2021-06-29,11.95,AA-,27-06-07,4.767,28.87,20.21,37.53,0,2021-12-15,15/30  85%,0,0,,,,0/15 | 30
251,123116,万兴转债,1300624,万兴科技,115.978,0.06,68.72,0.16,-1.25,-2.03,-0.27,-0.87,3.781,60.05,93.14,29.9,1.7,978.46,58.95,209.12,83.37,11.2,0,09:49:57,2021-07-01,3.788,A+,27-06-08,4.77,49.79,34.85,64.73,0,2021-12-16,15/30  85%,0,0,,,,0/15 | 30
252,123117,健帆转债,1300529,健帆生物,114.87,0.1,53.91,0.05,2.56,1.52,2.86,0.07,9.999,52.49,118.84,47.07,0.23,2375.32,38.92,233.71,97.2,4.1,0,09:50:03,2021-07-12,10.0,AA,27-06-22,4.808,89.68,62.78,116.58,0,2021-12-29,15/30  85%,0,0,,,,0/15 | 30
